NAME	REGIONS	BP	output/chip-pipeline-GRCm38_GSE33346/peak_call/mESC_RAD21/mESC_RAD21_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE111264/peak_call/mESC_SMARCA4_rep1/mESC_SMARCA4_rep1_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE111264/peak_call/mESC_ARID1A/mESC_ARID1A_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE111264/peak_call/mESC_BRD4_rep1/mESC_BRD4_rep1_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE30267/peak_call/mESC_AFF4_rep1/mESC_AFF4_rep1_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE30267/peak_call/mESC_CDK9_rep1/mESC_CDK9_rep1_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE30267/peak_call/mESC_ELL2_rep1/mESC_ELL2_rep1_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE30267/peak_call/mESC_POL2_rep1/mESC_POL2_rep1_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE22341/peak_call/mESC_P300/mESC_P300_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE22341/peak_call/mESC_CHD7/mESC_CHD7_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE51522/peak_call/mESC_CBP_rep1/mESC_CBP_rep1_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE22557/peak_call/mESC_NIPBL/mESC_NIPBL_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE22557/peak_call/mESC_SMC3/mESC_SMC3_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE22557/peak_call/mESC_MED1/mESC_MED1_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE22557/peak_call/mESC_MED12/mESC_MED12_peaks.narrowPeak.bed	output/chip-pipeline-GRCm38_GSE22557/peak_call/mESC_SMC1/mESC_SMC1_peaks.narrowPeak.bed
output/chip-pipeline-GRCm38_GSE33346/peak_call/mESC_RAD21/mESC_RAD21_peaks.narrowPeak.bed	126965	23274753	1.0	0.5104270158192872	0.2430449924581678	0.32009331723588896	0.22698000086246758	0.4166973696729199	0.42799951402875613	0.3006635022460947	0.37690490911079494	0.28887738979775657	0.2988804723621796	0.7992777719344356	0.9811010836843116	0.5584107774969965	0.5890615154570001	0.9799195407459871
output/chip-pipeline-GRCm38_GSE111264/peak_call/mESC_SMARCA4_rep1/mESC_SMARCA4_rep1_peaks.narrowPeak.bed	89588	40514000	0.5104270158192872	1.0	0.8779805476272508	0.7406934128706137	0.5890149849771786	0.9756394689531064	0.8057773979564274	0.7469830480233982	0.7115206364950469	0.6983420068379679	0.6052430081966071	0.9738810075141565	0.7740074447984622	0.925434841577896	0.9524612315249046	0.78869562175666
output/chip-pipeline-GRCm38_GSE111264/peak_call/mESC_ARID1A/mESC_ARID1A_peaks.narrowPeak.bed	19571	7088307	0.2430449924581678	0.8779805476272508	1.0	0.6817949166677709	0.24406964806279505	0.3774367483318709	0.4052076565969956	0.32051014896070845	0.5556461040413845	0.5054645133177901	0.38314712203995765	0.4680744195278115	0.03719114013692967	0.6650331820348918	0.7660036892050255	0.07129198978620425
output/chip-pipeline-GRCm38_GSE111264/peak_call/mESC_BRD4_rep1/mESC_BRD4_rep1_peaks.narrowPeak.bed	51656	24194544	0.32009331723588896	0.7406934128706137	0.6817949166677709	1.0	0.6268982125400522	0.8972275926848783	0.8622504065451813	0.6304954306430899	0.6782787097948357	0.5461660526075872	0.5113655444584346	0.9993825537283384	0.43912176271443376	0.9277450530822839	0.9224309207643518	0.4720395095353372
output/chip-pipeline-GRCm38_GSE30267/peak_call/mESC_AFF4_rep1/mESC_AFF4_rep1_peaks.narrowPeak.bed	6160	3560837	0.22698000086246758	0.5890149849771786	0.24406964806279505	0.6268982125400522	1.0	0.10392485553652137	0.7384859574015128	0.6215901629911553	0.2366523008143065	0.32357669831832153	0.27016714022682486	0.4370666568840826	0.005076259578848866	0.5472516547127212	0.49614276578349886	0.022124603602406347
output/chip-pipeline-GRCm38_GSE30267/peak_call/mESC_CDK9_rep1/mESC_CDK9_rep1_peaks.narrowPeak.bed	1343	433505	0.4166973696729199	0.9756394689531064	0.3774367483318709	0.8972275926848783	0.10392485553652137	1.0	0.09587092381466712	0.9058592138002981	0.06157703057125292	0.16985676879919182	0.2952267807919074	0	0.009590824033930254	0.03804797542012113	0.056309995078057326	0.016641604491587005
output/chip-pipeline-GRCm38_GSE30267/peak_call/mESC_ELL2_rep1/mESC_ELL2_rep1_peaks.narrowPeak.bed	2310	844304	0.42799951402875613	0.8057773979564274	0.4052076565969956	0.8622504065451813	0.7384859574015128	0.09587092381466712	1.0	0.8543388725740274	0.3600359104891707	0.4859696737511919	0.4631283559301562	0.4722558982655388	0.005902246543385917	0.36957433357258246	0.30222920278497467	0.023953492378644938
output/chip-pipeline-GRCm38_GSE30267/peak_call/mESC_POL2_rep1/mESC_POL2_rep1_peaks.narrowPeak.bed	32172	18056279	0.3006635022460947	0.7469830480233982	0.32051014896070845	0.6304954306430899	0.6215901629911553	0.9058592138002981	0.8543388725740274	1.0	0.34047262704339054	0.3206255852347461	0.3588471410290608	0.8943500226159876	0.14395387281057379	0.7278940721282091	0.6758235888245903	0.16784317166023174
output/chip-pipeline-GRCm38_GSE22341/peak_call/mESC_P300/mESC_P300_peaks.narrowPeak.bed	12659	2764824	0.3769049091107949	0.7115206364950469	0.5556461040413845	0.6782787097948358	0.2366523008143065	0.06157703057125292	0.3600359104891707	0.34047262704339054	1.0	0.6095585139246824	0.5695409290480223	0.6563071072882806	0.014439985092841424	0.6088018399801631	0.693116701199688	0.044303259182419494
output/chip-pipeline-GRCm38_GSE22341/peak_call/mESC_CHD7/mESC_CHD7_peaks.narrowPeak.bed	43908	10141297	0.28887738979775657	0.6983420068379679	0.5054645133177901	0.5461660526075872	0.32357669831832153	0.16985676879919182	0.4859696737511919	0.3206255852347461	0.6095585139246824	1.0	0.36367631095918423	0.6586593847854382	0.13293300136758487	0.7353148283057669	0.806956836723838	0.16305243990862586
